title,authors,year,venue,doi,abstract,keywords,citation_count,source
System Software,Peter Marwedel,2021.0,Embedded Systems,10.1007/978-3-030-60910-8_4,"<jats:title>Abstract</jats:title><jats:p>In order to cope with the complexity of applications of embedded systems, reuse of components is a key technique. As pointed out by Sangiovanni-Vincentelli (The context for platform-based design. IEEE Design and Test of Computers, 2002), software and hardware components must be reused in the platform-based design methosdology (see p. 296). These components comprise knowledge from earlier design efforts and constitute <jats:bold>intellectual property</jats:bold> (IP). Standard software components that can be reused include system software components such as embedded operating systems (OSs) and <jats:bold>middleware</jats:bold>. The last term denotes software that provides an intermediate layer between the OS and application software. This chapter starts with a description of general requirements for embedded operating systems. This includes real-time capabilities as well as adaptation techniques to provide just the required functionality. Mutually exclusive access to resources can result in priority inversion, which is a serious problem for real-time systems. Priority inversion can be circumvented with resource access protocols. We will present three such protocols: the priority inheritance, priority ceiling, and stack resource protocols. A separate section covers the ERIKA real-time system kernel. Furthermore, we will explain how Linux can be adapted to systems with tight resource constraints. Finally, we will provide pointers for additional reusable software components, like hardware abstraction layers (HALs), communication software, and real-time data bases. Our description of embedded operating systems and of middleware in this chapter is consistent with the overall design flow.</jats:p>",,,CrossRef
Resilient Rerouting in IoT Systems with Evolutionary Computing,"Ayoade A. Owoade, I. Osunmakinde",2021.0,Artificial Intelligence in Intelligent Systems,10.1007/978-3-030-77445-5_18,,,2.0,Semantic Scholar
The Interoperability Challenge: Building a Model-Driven Digital Thread Platform for CPS,"T. Margaria, Hafiz Ahmad Awais Chaudhary, I. Guevara, Stephen Ryan, Alexander Schieweck",2021.0,Leveraging Applications of Formal Methods,10.1007/978-3-030-89159-6_25,"With the heterogeneity of the industry 4.0 world, and more generally of the Cyberphysical Systems realm, the quest towards a platform approach to solve the interoperability problem is front and centre to any system and system-of-systems project. Traditional approaches cover individual aspects, like data exchange formats and published interfaces. They may adhere to some standard, however they hardly cover the production of the integration layer, which is implemented as bespoke glue code that is hard to produce and even harder to maintain. Therefore, the traditional integration approach often leads to poor code quality, further increasing the time and cost and reducing the agility, and a high reliance on the individual development skills. We are instead tackling the interoperability challenge by building a model driven/low-code Digital Thread platform that 1) systematizes the integration methodology, 2) provides methods and techniques for the individual integrations based on a layered Domain Specific Languages (DSL) approach, 3) through the DSLs it covers the integration space domain by domain, technology by technology, and is thus highly generalizable and reusable, 4) showcases a first collection of examples from the domains of robotics, IoT, data analytics, AI/ML and web applications, 5) brings cohesiveness to the aforementioned heterogeneous platform, and 6) is easier to understand and maintain, even by not specialized programmers. We showcase the power, versatility and the potential of the Digital Thread platform on four interoperability case studies: the generic extension to REST services, to robotics through the UR family of robots, to the integration of various external databases (for data integration) and to the provision of data analytics capabilities in R.",,14.0,Semantic Scholar
Blockchain-Based CPS and IoT in the Automotive Supply Chain,"Maha Filali Rotbi, Saad Motahhir, Abdelaziz El Ghzizal",2022.0,Internet of Things,10.1007/978-3-030-93646-4_7,,,,CrossRef
Intelligent Cyber Physical Systems and Internet of Things,"Jude Hemanth, Danilo Pelusi, Joy Iong-Zong Chen, ICoICI, Iong-Zong Chen, P. Suresh, Abhishek Shettigar, M. Karunavathi, G. AjithM., Ramanath Kini, G. V. R. K. Rao, T. J. D. Shrilaa, I. Akash, G. Gugapriya, Digvijay Singh, Rajesh Yadav, E. V. Kameswararao, M. J. Shankar, T. V. S. Lokesh, E. Terence, S. Srinivasan, AL. Vallikannu, Adapa Sankar Ganesh, Iragamreddy Raj Kumar, Beereddy Venu Gopal, Ankit Raj, S. Khoje, S. Shinde, N. S. Kumar, S. Karthick, K. P. A. Kumar, S. Balaji, T. N. Sastha, Ankita Kumari, Prashant Pranav, Sandip Dutta, andSoubhik Chakraborty, Shruti Tiwari, C. Bhatt, K. P. Kumar, Sangeetha Singarapu, Mounika Singarapu, Swaroop Rakesh Karra, Vadlapudi Keyur Parmar, Neduri Devanand Kumar, Kasa Leela Prasanth Pranoppal, Charan Teja, Shriniwas Patil, Kaushal A. Shah, Suhasini S. Goilkar, S. Goilkar, R. Dhivya, N. Shanmugapriya, Saeed Ali, Haifa Ali, J. Vakula, Sanket Araballi, P. Devaki, Shivani Mangal, Khushboo Agarwal, A. Ratnaparkhi, Radhika G. Purandare, Gauri Ghule, Shraddha K. Habbu, Arti Bang, Pallavi Deshpande, P. Ganjewar, Sanjeev J Wagh, A. L. Gilbile, Sreeparnesh Sharma, Sathish Kumar, Anil Mahadeo, P. Bhaladhare, Manas Kumar, A. S. N. Chakravarthy, Varun Sarathchandran, Juel Jason Vincent, Mathais George Polu, Sathwik Reddy, R. Ambika, A. P. Adil, M. G. Anandhu, Jeovan Elsa, Twinkle S Joy, S. Karethara, R. AnjaliB., Poorna, R. Bindu, T. Kavitha, V. Panchami, Arjun Rajasekharan, Mahima Mary Mathews, H. V. Chand, Seema Sabharwal, Anil Carie, Jadhav Kalpesh, Jadhav Rushikesh, Kalbande Swaraj, Katta Rohan, Rakhi Bharadwaj, Mehak Gupta, Nimit Agrawal, M. R. Prusty, K. Jadhav, Mangesh D. Nikose, Nongmeikapam Thoiba Singh, Raman Chadha, M. Koteswara, M. S. Rao, Jaijaivenkataramana Ch. Sai, Sowjanya, Aditya Sukhwal, Gourab Kundu, Chandrani Chakravorty, A. S. Shminan, Nur Zulaikha, Mohamed Aziyen, Lee Jun, C. Merikan, Aren, V. G. Krishnan, D. Siva, S. MuthuSelvi, T. A. M. Prakash, P. A. A. Saleem, S. Mary, Rexcy Asha, M. Jyothirmai, Kesavan Gopal, M. Sailaja, T. Pavithra, B. S. Nagabhushana, Suchismitha Das, Jay Jhaveri, Abhay Gupta, Prem Chhabria, Neeraj Ochani, Sharmila Sengupta, Mrs. Sunita Suralkar, S. Dugad, N. A. Chakravarthy, U. Padma, Hanjabam Saratchandra, Moirangthem Marjit Sharma, Singh Arindam, Sarkar, Merly Thomas, Bandu Meshram, S. Kanakaprabha, P. Arulprakash, V. Priyanka, Vineetha Varghese, A. Sureshkumar, E. Roopa, Yasha Jyothi, M. Shirur, Suma V. Dankan Gowda, Sira Jacob, Naziya Hussain, R. Chennappan, D. T. Sakhare, Hrithika Singh, Asmita Bhangare, Rashmi Singh, Shubhangi Zope, Pallavi Saindane, Mayank Srivastava, A. Maurya, Utkarsh Sharma, S. Srivastava, Springer Cham, Ahmad Sofian, Springer Nature, Ris Enw Bib Doi, Cham Springer",2023.0,Engineering Cyber-Physical Systems and Critical Infrastructures,10.1007/978-3-031-18497-0,,,1.0,Semantic Scholar
Aquaculture Monitoring System Using Internet of Things,"G. V. R. Kameshwar Rao, T. J. Dhivya Shrilaa, I. Akash, G. Gugapriya",2023.0,Engineering Cyber-Physical Systems and Critical Infrastructures,10.1007/978-3-031-18497-0_2,,,,CrossRef
Network Monitoring of Cyber Physical System,"Mayank Srivastava, Aman Maurya, Utkarsh Sharma, Shikha Srivastava",2023.0,Engineering Cyber-Physical Systems and Critical Infrastructures,10.1007/978-3-031-18497-0_51,,,,CrossRef
"Smart Solid Waste Management System Using IoT Technology: Comparative Analysis, Gaps, and Challenges","Meenakshi Shruti Pal, Munish Bhatia",2023.0,Engineering Cyber-Physical Systems and Critical Infrastructures,10.1007/978-3-031-18497-0_58,,,,CrossRef
An IoT-Based Telemedicine System for the Rural People of Bangladesh,"Raqibul Hasan, Md. Tamzidul Islam, Md. Mubayer Rahman",2024.0,Engineering Cyber-Physical Systems and Critical Infrastructures,10.1007/978-3-031-52787-6_5,,,,CrossRef
IoT in Cyber-Physical Systems,Abdul Salam,2024.0,Internet of Things,10.1007/978-3-031-62162-8_13,,,,CrossRef
Modelling Resilience of Data Processing Capabilities of CPS,"L. Laibinis, D. Klionskiy, E. Troubitsyna, A. Dorokhov, J. Lilius, M. Kupriyanov",2014.0,International Workshop on Software Engineering for Resilient Systems,10.1007/978-3-319-12241-0_5,,,7.0,Semantic Scholar
Latest Advancement in CPS and IoT Applications,"Lihui Wang, Xiangyu Wang",2018.0,,10.1007/978-3-319-67693-7_2,,,21.0,Semantic Scholar
IoT System Architectures,"Dimitrios Serpanos, Marilyn Wolf",2018.0,Internet-of-Things (IoT) Systems,10.1007/978-3-319-69715-4_2,,,,CrossRef
Resilience Enhancement of Cyber-Physical Systems: A Review,"Sanda Florentina Mihalache, Emil Pricop, Jaouhar Fattahi",2018.0,Power Systems Resilience,10.1007/978-3-319-94442-5_11,,,22.0,Semantic Scholar
Fruition of CPS and IoT in Context of Industry 4.0,"M. Devesh, Agrawal Krishna Kant, Y. Suchit, Pande Tanuja, Shukla Narendra Kumar",2019.0,Advances in Intelligent Systems and Computing,10.1007/978-981-13-8618-3_39,,,11.0,Semantic Scholar
An empirical comparison of formalisms for modelling and analysis of dynamic reconfiguration of dependable systems,"Bhattacharyya, Anirban and Mokhov, Andrey and Pierce, Ken",2017,Springer-Verlag,10.1007/s00165-016-0405-z,"This paper uses a case study to evaluate empirically three formalisms of different kinds for their suitability for the modelling and analysis of dynamic reconfiguration of dependable systems. The requirements on an ideal formalism for dynamic software reconfiguration are defined. The reconfiguration of an office workflow for order processing is described, and the requirements on the reconfiguration of the workflow are defined. The workflow is modelled using the Vienna Development Method (VDM), conditional partial order graphs (CPOGs), and the basic Calculus of Communicating Systems for dynamic process reconfiguration (basic CCSdp), and verification of the reconfiguration requirements is attempted using the models. The formalisms are evaluated according to their ability to model the reconfiguration of the workflow, to verify the requirements on the workflow’s reconfiguration, and to meet the requirements on an ideal formalism.","Dynamic software reconfiguration, Workflow case study, Reconfiguration requirements, Formal methods, VDM, Conditional partial order graphs, Basic CCSdp",,ACM
"Inferring Switched Nonlinear Dynamical
Systems","Jin, Xiangyu and An, Jie and Zhan, Bohua and Zhan, Naijun and Zhang, Miaomiao",2021,Springer-Verlag,10.1007/s00165-021-00542-7,"Identification of dynamical and hybrid systems using trajectory data is an important way to construct
models for complex systems where derivation from first principles is too difficult. In this paper, we study the
identification problem for switched dynamical systems with polynomial ODEs. This is a difficult problem as
it combines estimating coefficients for nonlinear dynamics and determining boundaries between modes. We
propose two different algorithms for this problem, depending on whether to perform prior segmentation of
trajectories. For methods with prior segmentation, we present a heuristic segmentation algorithm and a way to
classify themodes using clustering. Formethods without prior segmentation, we extend identification techniques
for piecewise affine models to our problem. To estimate derivatives along the given trajectories, we use Linear
MultistepMethods. Finally, we propose a way to evaluate an identified model by computing a relative difference
between the predicted and actual derivatives. Based on this evaluation method, we perform experiments on
five switched dynamical systems with different parameters, for a total of twenty cases. We also compare with
three baseline methods: clustering with DBSCAN, standard optimization methods in SciPy and identification of
ARX models in Matlab, as well as with state-of-the-art identification method for piecewise affine models. The
experiments show that our two methods perform better across a wide range of situations.","Linear multistep methods, Switched dynamical systems, Grey-box inference, Black-box inference, System identification",,ACM
Cyber-physical system with IoT-based smart vehicles,Abdulrahman A. Alshdadi,2021.0,"Soft Computing - A Fusion of Foundations, Methodologies and Applications",10.1007/s00500-021-05908-w,,,17.0,Semantic Scholar
MADP-IIME: malware attack detection protocol in IoT-enabled industrial multimedia environment using machine learning approach,"S. Pundir, M. Obaidat, M. Wazid, A. Das, D. P. Singh, J. Rodrigues",2021.0,Multimedia Systems,10.1007/s00530-020-00743-9,,,18.0,Semantic Scholar
Intelligent and behavioral-based detection of malware in IoT spectrum sensors,"A. Celdrán, P. Sánchez, Miguel Azorín Castillo, Gérôme Bovet, G. Pérez, B. Stiller",2022.0,International Journal of Information Security,10.1007/s10207-022-00602-w,"The number of Cyber-Physical Systems (CPS) available in industrial environments is growing mainly due to the evolution of the Internet-of-Things (IoT) paradigm. In such a context, radio frequency spectrum sensing in industrial scenarios is one of the most interesting applications of CPS due to the scarcity of the spectrum. Despite the benefits of operational platforms, IoT spectrum sensors are vulnerable to heterogeneous malware. The usage of behavioral fingerprinting and machine learning has shown merit in detecting cyberattacks. Still, there exist challenges in terms of (i) designing, deploying, and evaluating ML-based fingerprinting solutions able to detect malware attacks affecting real IoT spectrum sensors, (ii) analyzing the suitability of kernel events to create stable and precise fingerprints of spectrum sensors, and (iii) detecting recent malware samples affecting real IoT spectrum sensors of crowdsensing platforms. Thus, this work presents a detection framework that applies device behavioral fingerprinting and machine learning to detect anomalies and classify different botnets, rootkits, backdoors, ransomware and cryptojackers affecting real IoT spectrum sensors. Kernel events from CPU, memory, network, file system, scheduler, drivers, and random number generation have been analyzed, selected, and monitored to create device behavioral fingerprints. During testing, an IoT spectrum sensor of the ElectroSense platform has been infected with ten recent malware samples (two botnets, three rootkits, three backdoors, one ransomware, and one cryptojacker) to measure the detection performance of the framework in two different network configurations. Both supervised and semi-supervised approaches provided promising results when detecting and classifying malicious behaviors from the eight previous malware and seven normal behaviors. In particular, the framework obtained 0.88–0.90 true positive rate when detecting the previous malicious behaviors as unseen or zero-day attacks and 0.94–0.96 F 1-score when classifying them.",,39.0,Semantic Scholar
A decentralized honeypot for IoT Protocols based on Android devices,"Irini Lygerou, Shreyas Srinivasa, Emmanouil Vasilomanolakis, G. Stergiopoulos, D. Gritzalis",2022.0,International Journal of Information Security,10.1007/s10207-022-00605-7,,,9.0,Semantic Scholar
A software-defined architecture for control of IoT cyberphysical systems,"Ala Darabseh, N. Freris",2018.0,Cluster Computing,10.1007/s10586-018-02889-8,"Based on software-defined principles, we propose a holistic architecture for cyberphysical systems (CPS) and internet of things (IoT) applications, and highlight the merits pertaining to scalability, flexibility, robustness, interoperability, and cyber security. Our design especially capitalizes on the computational units possessed by smart agents, which may be utilized for decentralized control and in-network data processing. We characterize the data flow, communication flow, and control flow that assimilate a set of components such as sensors, actuators, controllers, and coordinators in a systemic programmable fashion. We specifically aim for distributed and decentralized decision-making by spreading the control over several hierarchical layers. In addition, we propose a middleware layer to encapsulate units and services for time-critical operations in highly dynamic environments. We further enlist a multitude of vulnerabilities to cyberattacks, and integrate software-defined solutions for enabling resilience, detection and recovery. In this purview, several controllers cooperate to identify and respond to security threats and abnormal situations in a self-adjusting manner. Last, we illustrate numerical simulations in support of the virtues of a software-defined design for CPS and IoT.",,31.0,Semantic Scholar
Bloom's IoT Taxonomy towards an effective Industry 4.0 education: Case study on Open-source IoT laboratory,"A. Awouda, Emiliano Traini, Mansur Asranov, P. Chiabert",2024.0,Education and Information Technologies : Official Journal of the IFIP technical committee on Education,10.1007/s10639-024-12468-7,"In the rapidly evolving landscape of Industry 4.0, the demand for skilled professionals well-versed in Internet of Things (IoT) technologies is escalating. However, a significant challenge faced in educational settings is the lack of comprehensive and effective methodologies for imparting practical knowledge and skills in IoT. This paper presents an approach for designing and implementing an Internet of Things (IoT) laboratory in which students may practice and comprehend many components of an IoT environment, such as analysis of sensor data, IoT platform development, and setup of messaging protocols. The teaching methodology adopts a Cyber-Physical System (CPS) framework, which integrates teachers, classrooms, and resources to create a comprehensive learning environment. Bloom's taxonomy is employed to assess the efficacy of the suggested technique in terms of cognitive skills and knowledge acquisition. The evaluation procedure demonstrated the advantages of a hybrid learning environment, which integrated both face-to-face and remote instruction. The case study is conducted in an engineering higher education course on first year students. The findings of this paper lay the groundwork for a remotely deliverable IoT training course, contributing to the advancement of IoT education and equipping students with the necessary skills for the evolving landscape of Industry 4.0.",,8.0,Semantic Scholar
IoTEF: A Federated Edge-Cloud Architecture for Fault-Tolerant IoT Applications,"Asad Javed, J. Robert, Keijo Heljanko, Kary Främling",2020.0,Journal of Grid Computing,10.1007/s10723-019-09498-8,"The evolution of Internet of Things (IoT) technology has led to an increased emphasis on edge computing for Cyber-Physical Systems (CPS), in which applications rely on processing data closer to the data sources, and sharing the results across heterogeneous clusters. This has simplified the data exchanges between IoT/CPS systems, the cloud, and the edge for managing low latency, minimal bandwidth, and fault-tolerant applications. Nonetheless, many of these applications administer data collection on the edge and offer data analytic and storage capabilities in the cloud. This raises the problem of separate software stacks between the edge and the cloud with no unified fault-tolerant management, hindering dynamic relocation of data processing. In such systems, the data must also be preserved from being corrupted or duplicated in the case of intermittent long-distance network connectivity issues, malicious harming of edge devices, or other hostile environments. Within this context, the contributions of this paper are threefold: (i) to propose a new Internet of Things Edge-Cloud Federation (IoTEF) architecture for multi-cluster IoT applications by adapting our earlier Cloud and Edge Fault-Tolerant IoT (CEFIoT) layered design. We address the fault tolerance issue by employing the Apache Kafka publish/subscribe platform as the unified data replication solution. We also deploy Kubernetes for fault-tolerant management, combined with the federated scheme, offering a single management interface and allowing automatic reconfiguration of the data processing pipeline, (ii) to formulate functional and non-functional requirements of our proposed solution by comparing several IoT architectures, and (iii) to implement a smart buildings use case of the ongoing Otaniemi3D project as proof-of-concept for assessing IoTEF capabilities. The experimental results conclude that the architecture minimizes latency, saves network bandwidth, and handles both hardware and network connectivity based failures.",,47.0,Semantic Scholar
CPS-based manufacturing workcell for the production of hybrid medical devices,"Nicholas J. H. Ho, Pooi-Mun Wong, Ngoc-Son Hoang, Dun-Kai Koh, M. Chua, C. Chui",2021.0,Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-020-02798-y,,,7.0,Semantic Scholar
Digital twins: artificial intelligence and the IoT cyber-physical systems in Industry 4.0,"P. Radanliev, D. De Roure, R. Nicolescu, M. Huth, Omar Santos",2021.0,International Journal of Intelligent Robotics and Applications,10.1007/s41315-021-00180-5,"This paper presents a summary of mechanisms for the evolution of artificial intelligence in ‘internet of things’ networks. Firstly, the paper investigates how the use of new technologies in industrial systems improves organisational resilience supporting both a technical and human level. Secondly, the paper reports empirical results that correlate academic literature with Industry 4.0 interdependencies between edge components to both external and internal services and systems. The novelty of the paper is a new approach for creating a virtual representation operating as a real-time digital counterpart of a physical object or process (i.e., digital twin) outlined in a conceptual diagram. The methodology applied in this paper resembled a grounded theory analysis of complex interconnected and coupled systems. By connecting the human–computer interactions in different information knowledge management systems, this paper presents a summary of mechanisms for the evolution of artificial intelligence in internet of things networks.",,58.0,Semantic Scholar
A hybrid machine learning model for detecting cybersecurity threats in IoT applications,"Midighe Usoh, Philip Asuquo, S. Ozuomba, B. Stephen, Udoinyang G. Inyang",2023.0,International journal of information technology,10.1007/s41870-023-01367-8,,,21.0,Semantic Scholar
Micro Virtual Machines (MicroVMs) for Cloud-assisted Cyber-Physical Systems (CPS),"J.V. Pradilla, C.E. Palau",2016.0,Internet of Things,10.1016/b978-0-12-805395-9.00007-1,,,,CrossRef
Dew Computing Architecture for Cyber-Physical Systems and IoT,Marjan Gushev,2020.0,Internet of Things,10.1016/j.iot.2020.100186,,,,CrossRef
Dynamic IoT deployment reconfiguration: A global-level self-organisation approach,"Nicolas Farabegoli, Danilo Pianini, Roberto Casadei, Mirko Viroli",2024.0,Internet of Things,10.1016/j.iot.2024.101412,,,,CrossRef
A framework for intelligent IoT firmware compliance testing,"Mohan Krishna Kagita, Giridhar Reddy Bojja, Mohammed Kaosar",2021.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2021.07.001,,,,CrossRef
A proactive role of IoT devices in building smart cities,Shahzad Ashraf,2021.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2021.08.001,,,,CrossRef
5G network slice for digital real-time healthcare system powered by network data analytics,"Hemant Jain, Vinay Chamola, Yash Jain,  Naren",2021.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2021.12.001,,,,CrossRef
"Cyber Physical Systems: Analyses, challenges and possible solutions","Amit Kumar Tyagi, N. Sreenath",2021.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2021.12.002,,,,CrossRef
"Sensible and secure IoT communication for digital twins, cyber twins, web twins","Hailin Feng, Dongliang Chen, Haibin Lv",2021.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2021.12.003,,,,CrossRef
Enabling flexible manufacturing system (FMS) through the applications of industry 4.0 technologies,"Mohd Javaid, Abid Haleem, Ravi Pratap Singh, Rajiv Suman",2022.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2022.05.005,,,,CrossRef
Remote control of environmental parameters in rabbitry based on IoT,"Taoufik Benhmad, Anouar Ben Abdennour, Amina Darghouthi, Chibani Belgacem Rhaimi",2022.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2022.06.003,,,,CrossRef
Design and implementation of solar-powered with IoT-Enabled portable irrigation system,"Roshahliza M. Ramli, Waheb A. Jabbar",2022.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2022.12.002,,,,CrossRef
IoT: Communication protocols and security threats,"Apostolos Gerodimos, Leandros Maglaras, Mohamed Amine Ferrag, Nick Ayres, Ioanna Kantzavelou",2023.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2022.12.003,,,,CrossRef
Metaverse from Philosophy,Zhihan Lv,2023.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.01.001,,,,CrossRef
RTP transport in IoT MQTT topologies,Rolando Herrero,2023.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.02.001,,,,CrossRef
"Security of federated learning with IoT systems: Issues, limitations, challenges, and solutions","Jean-Paul A. Yaacoub, Hassan N. Noura, Ola Salman",2023.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.04.001,,,,CrossRef
"Ethical hacking for IoT: Security issues, challenges, solutions and recommendations","Jean-Paul A. Yaacoub, Hassan N. Noura, Ola Salman, Ali Chehab",2023.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.04.002,,,,CrossRef
Development of a smart sensing unit for LoRaWAN-based IoT flood monitoring and warning system in catchment areas,"Muhammad Izzat Zakaria, Waheb A. Jabbar, Noorazliza Sulaiman",2023.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.04.005,,,,CrossRef
REST and EDA architectures in IoT actuation,Rolando Herrero,2023.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.05.002,,,,CrossRef
Smart Healthy Schools: An IoT-enabled concept for multi-room dynamic air quality control,"Alessandro Zivelonghi, Alessandro Giuseppi",2024.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.05.005,,,,CrossRef
Blockchain inspired secure and reliable data exchange architecture for cyber-physical healthcare system 4.0,"Mohit Kumar, Hritu Raj, Nisha Chaurasia, Sukhpal Singh Gill",2023.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.05.006,,,,CrossRef
Internet of things enabled parking management system using long range wide area network for smart city,"Waheb A. Jabbar, Lu Yi Tiew, Nadiah Y. Ali Shah",2024.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.09.001,,,,CrossRef
Deep learning for cyber threat detection in IoT networks: A review,"Alyazia Aldhaheri, Fatima Alwahedi, Mohamed Amine Ferrag, Ammar Battah",2024.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.09.003,,,,CrossRef
Designing an internet of things laboratory to improve student understanding of secure IoT systems,"A. Ravishankar Rao, Angela Elias-Medina",2024.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.10.002,,,,CrossRef
"Ransomware on cyber-physical systems: Taxonomies, case studies, security gaps, and open challenges",Mourad Benmalek,2024.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2023.12.001,,,,CrossRef
IoT-enhanced smart road infrastructure systems for comprehensive real-time monitoring,"Zhoujing Ye, Ya Wei, Songli Yang, Pengpeng Li, Fei Yang, Biyu Yang, Linbing Wang",2024.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2024.01.002,,,,CrossRef
Multi-objective optimization algorithms for intrusion detection in IoT networks: A systematic review,"Shubhkirti Sharma, Vijay Kumar, Kamlesh Dutta",2024.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2024.01.003,,,,CrossRef
WITHDRAWN: Non-work conserving dynamic scheduling of moldable gang tasks on multicore systems,"Tomoki Shimizu, Hiroki Nishikawa, Xiangbo Kong, Hiroyuki Tomiyama",2024.0,Internet of Things and Cyber-Physical Systems,10.1016/j.iotcps.2024.03.001,,,,CrossRef
