"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cyber-Physical Production Systems for Industrial Shop-Floor Integration Based on AMQP","E. S. Llamuca; C. A. Garcia; J. E. Naranjo; M. V. Garcia","University of the Basque Country UPV/EHU, Bilbao, Spain; University of the Basque Country UPV/EHU, Bilbao, Spain; University of the Basque Country UPV/EHU, Bilbao, Spain; University of the Basque Country UPV/EHU, Bilbao, Spain",2019 International Conference on Information Systems and Software Technologies (ICI2ST),"27 Dec 2019","2019","","","48","54","Due to the recent development of the Internet of Things (IoT), and Cloud computing technologies, Cyber-Physical Systems (CPPS) are currently used as controllers during the manufacturing process. This new approach results in new insights that can enhance decision-making processes and provide a competitive business advantage. This study deals with the implementation of CPPS using low-cost devices in a simulated factory to control the industrial process and integrate shop-floor communications using the AMQP (Advanced Message Queuing Protocol) protocol. In an era in which most CPPS-related studies are conducted on high-level abstract models, this study describes more specific architectural frameworks in a real process.","","978-1-7281-4886-1","10.1109/ICI2ST.2019.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8940405","Cyber-Physical Productions Systems (CPPS), Internet of Things (IoT), Shop-floor communications, AMQP protocol","Protocols;Internet of Things;Standards;Cyber-physical systems;Reliability;Business;Computer architecture","","6","","18","IEEE","27 Dec 2019","","","IEEE","IEEE Conferences"
"IoT-based DDoS on Cyber Physical Systems: Research Challenges, Datasets and Future Prospects","M. Snehi; A. Bhandari","Department of Computer Science and Engineering, Punjabi University, Patiala, Punjab, India; Department of Computer Science and Engineering, Punjabi University, Patiala, Punjab, India","2022 IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)","20 Jun 2022","2022","","","1","8","The fusion of widespread IoT devices, highly adopted cloud services, and advanced network technologies has laid the foundation of Cyber-Physical Systems. However, the architecture is highly vulnerable due to weak security bound to IoT devices. The IoT devices have played a significant role in launching DDoS attacks, thereby making the state of affairs catastrophic. The attacks are novel and traditional systems are not efficient enough to address high volume and diverse attacks. The roadblock to researchers is the unavailability of an adequate number of datasets that apprehends the diversity of attacks. The paper describes the specifications of cyber-physical systems, description of IoT-DDoS attacks, and highlights the research challenges. The paper further collates and elucidates the IoT-DDoS datasets with a comparative analysis of the test environment, features offered, and statistical details of datasets. At the end of the paper, based on the dataset study, recommendations are proposed for dataset standardization and extracting most out of the datasets.","","978-1-6654-8684-2","10.1109/IEMTRONICS55184.2022.9795708","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9795708","Internet of Things;IoT-DDoS;Distributed Denial of Service;Dataset;Cyber Physical System","Cloud computing;Mechatronics;Conferences;Standardization;Cyber-physical systems;Feature extraction;Denial-of-service attack","","5","","31","IEEE","20 Jun 2022","","","IEEE","IEEE Conferences"
"Study of the heterogeneity problem in the Internet of Things and Cloud Computing integration","R. Mafamane; M. Ouadou; A. T. J. Hassani; K. Minaoui","Computer and Telecom Research Laboratory, University of Mohammed V, Rabat, Morocco; Computer and Telecom Research Laboratory, University of Mohammed V, Rabat, Morocco; Computer and Telecom Research Laboratory, University of Mohammed V, Rabat, Morocco; Computer and Telecom Research Laboratory, University of Mohammed V, Rabat, Morocco","2020 10th International Symposium on Signal, Image, Video and Communications (ISIVC)","26 Jul 2021","2021","","","1","6","Since the Internet of Things will continue to grow in the coming years, the need for services covering several IoT application areas will grow in order to realize the efficiency gains promised by IoT. Cloud computing, in particular, is a technology closely related to the Internet of Things. The synergy between the Cloud and IoT has emerged largely from the attributes of the Cloud that directly benefit IoT and enable its continued growth. The adoption of cloud services by IoT faces new challenges. However, service developers looking to add value to existing IoT systems are faced with very heterogeneous devices and systems. These systems implement a wide variety of network connectivity options, proprietary or standards-based protocols, and communication methods unknown to an innovative IoT service developer. In this paper, the problem of heterogeneity in the Internet of Things and Cloud Computing integration is studied, and some existing solutions are compared.","","978-1-7281-7668-0","10.1109/ISIVC49222.2021.9487539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9487539","Internet of Things;Cloud Computing;heterogeneity;interoperability;Cloud of Things","Cloud computing;Protocols;Internet of Things;Faces","","2","","15","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"6G Internet of Things: A Comprehensive Survey","D. C. Nguyen; M. Ding; P. N. Pathirana; A. Seneviratne; J. Li; D. Niyato; O. Dobre; H. V. Poor","School of Engineering, Deakin University, Waurn Ponds, VIC, Australia; Data61, CSIRO, Eveleigh, NSW, Australia; School of Engineering, Deakin University, Waurn Ponds, VIC, Australia; School of Electrical Engineering and Telecommunications, University of New South Wales, Sydney, NSW, Australia; School of Electrical and Optical Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore; Faculty of Engineering and Applied Science, Memorial University, St. John’s, NL, Canada; Department of Electrical and Computer Engineering, Princeton University, Princeton, NJ, USA",IEEE Internet of Things Journal,"22 Dec 2021","2022","9","1","359","383","The sixth-generation (6G) wireless communication networks are envisioned to revolutionize customer services and applications via the Internet of Things (IoT) toward a future of fully intelligent and autonomous systems. In this article, we explore the emerging opportunities brought by 6G technologies in IoT networks and applications, by conducting a holistic survey on the convergence of 6G and IoT. We first shed light on some of the most fundamental 6G technologies that are expected to empower future IoT networks, including edge intelligence, reconfigurable intelligent surfaces, space–air–ground–underwater communications, Terahertz communications, massive ultrareliable and low-latency communications, and blockchain. Particularly, compared to the other related survey papers, we provide an in-depth discussion of the roles of 6G in a wide range of prospective IoT applications via five key domains, namely, healthcare IoTs, Vehicular IoTs and Autonomous Driving, Unmanned Aerial Vehicles, Satellite IoTs, and Industrial IoTs. Finally, we highlight interesting research challenges and point out potential directions to spur further research in this promising area.","2327-4662","","10.1109/JIOT.2021.3103320","CSIRO Data61, Australia; U.S. National Science Foundation(grant numbers:CCF-1908308); National Natural Science Foundation of China(grant numbers:61872184); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9509294","Internet of Things (IoTs);network intelligence;sixth generation (6G);wireless communications","6G mobile communication;Internet of Things;Autonomous vehicles;Satellites;Industrial Internet of Things;Wireless networks;Unmanned aerial vehicles","","692","","140","IEEE","9 Aug 2021","","","IEEE","IEEE Journals"
"Multi-Paradigm Modelling of Cyber-Physical Systems","H. Vangheluwe","Univ. of Antwerp/Flanders Make, Antwerp, Belgium",2018 IEEE/ACM 4th International Workshop on Software Engineering for Smart Cyber-Physical Systems (SEsCPS),"26 Aug 2018","2018","","","1","1","The networking of multi-physics (mechanical, electical, hydraulic, biochemical, ...) with computational systems (control systems, signal processing, logical inferencing, planning ...) processes, interacting with often uncertain environments, with human actors, in a socio-economic context, leads to so-called Cyber-Physical Systems (CPS). Cyber-physical systems are reaching a hitherto unseen level of complexity. To date, no unifying theory nor systematic design methods, techniques and tools exist for such systems. Individual (mechanical, electrical, network or software) engineering disciplines only offer partial solutions. Multi-paradigm Modelling (MPM) proposes to model every part and aspect of such complex systems explicitly, at the most appropriate level(s) of abstraction, using the most appropriate modelling formalism(s). This includes the explicit modelling of the often complex engineering workflows. Modelling language engineering, including model transformation, and the study of their semantics, are used to realize MPM. MPM is seen as an effective answer to the challenges of designing CPS. This presentation introduces some of the challenges of collaborative development of CPS as well as possible multi-paradigm modelling solutions such as (in-)consistency management and co-simulation.","","978-1-4503-5728-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8445070","Multi-Paradigm Modelling (MPM);Cyber-Physical Systems (CPS)","Cyber-physical systems;Computational modeling;Conferences;Software engineering;Biological system modeling;Computer science;Hydraulic systems","","1","","","","26 Aug 2018","","","IEEE","IEEE Conferences"
"Realizing an Implementation Platform for Closed Loop Cyber-Physical Systems Using Blockchain","A. Bin Masood; H. K. Qureshi; S. M. Danish; M. Lestas","National University of Sciences and Technology (NUST), Islamabad, Pakistan; National University of Sciences and Technology (NUST), Islamabad, Pakistan; National University of Sciences and Technology (NUST), Islamabad, Pakistan; Frederick University, Nicosia, Cyprus",2019 IEEE 89th Vehicular Technology Conference (VTC2019-Spring),"27 Jun 2019","2019","","","1","5","Cyber-physical Systems (CPS) comprise of a network of physically distributed embedded sensors and actuators equipped with computational and communication capability. In CPS, Internet of Things (IoT) devices communicate in a trustless environment as the data can be compromised due to the centralized database, limited power and computational constraints. At the same time, reliability and resiliency are key concerns in CPS in the face of unforeseen circumstances, often emanating from disaster based failures. In this paper, critical issues of centralized database security in CPS are addressed via a distributed blockchain based solution. The proposed system encompasses a smart contract based framework in Ethereum blockchain. It further explores the potential of blockchain in securing and offering a distributed network for the CPS in a closed loop manner. To demonstrate the realizability of the proposed framework, a testbed implementation for the proposed idea is provided. A desktop computer, a laptop, a simple temperature sensor and a Light Emitting Diode (LED) are interfaced in a Peer-to-Peer (P2P) network using Ethereum. The speedy transaction of sensor data in the blockchain at various difficulty levels and actuation through smart contracts enhance the usability of the platform for CPS and various IoT applications.","2577-2465","978-1-7281-1217-6","10.1109/VTCSpring.2019.8746372","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8746372","","Blockchain;Smart contracts;Internet of Things;Temperature sensors;Intelligent sensors;Peer-to-peer computing","","8","","14","IEEE","27 Jun 2019","","","IEEE","IEEE Conferences"
"Enhanced cyber-physical system with semantic technologies and machine learning to support smart farming","S. N. Ciolofan; M. Drăgoicea; D. -C. Popeangă","Department of Computer Science, Politehnica University of Bucharest, Bucharest, Romania; Department of Automatic Control and Systems Engineering, Politehnica University of Bucharest, Bucharest, Romania; Department of Computer Science, Politehnica University of Bucharest, Bucharest, Romania",2023 24th International Conference on Control Systems and Computer Science (CSCS),"17 Aug 2023","2023","","","56","60","An important aspect related to the effects of agricultural activities on the environment is represented by the nutrient loss in water and air (specifically nitrogen). The interactions between catchments hydrological processes, management of farm activities, climate changes and nitrogen losses constitute a complex phenomenon yet not well understood, being an important concern from the sustainable agriculture perspective. Nitrogen can be lost with water as leaching or runoff, or as gas as ammonia volatilization. Nitrous oxide (N2O) is particularly problematic because it is also a powerful greenhouse gas. The goal of the current article is to present innovative digital techniques to advance in understanding of this phenomena through an Information System that integrates Artificial Intelligence techniques such as Semantic Technologies and Machine Learning (ML) into Cyber-Physical Systems (CPS) to support smart farming and sustainable agriculture.","2379-0482","979-8-3503-1339-0","10.1109/CSCS59211.2023.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10214873","cyber physical systems;ontology;sustainable agriculture;predictive analytics;nitrogen loss;IoT","Special issues and sections;Cyber-physical systems;Agriculture;Smart agriculture;Machine learning;Climate change;Green design;Nitrogen;Internet of Things;Ontologies;Smart agriculture;Semantics","","3","","40","IEEE","17 Aug 2023","","","IEEE","IEEE Conferences"
"Hands-On Field Operational Test Dataset of a Multi-Controller CPS: A Modeled Case Study on Autonomous Driving","Y. -J. Shin; E. Cho; H. Kim; D. -H. Bae","Korea Advanced Institute of Science and Technology, Daejeon, Republic of Korea; Korea Advanced Institute of Science and Technology, Daejeon, Republic of Korea; Korea Advanced Institute of Science and Technology, Daejeon, Republic of Korea; Korea Advanced Institute of Science and Technology, Daejeon, Republic of Korea",2022 17th Annual System of Systems Engineering Conference (SOSE),"6 Jul 2022","2022","","","205","212","Cyber-physical systems (CPSs) observe operational environments and continuously decide on actions to achieve goals. In many cases, complex CPSs have several goals to satisfy simultaneously. To develop a CPS with multiple goals, engineers can create various control systems, each contributing to a goal based on a system-of-systems (SoS) engineering perspective. Engineers then conduct field operational tests (FOTs) to collect data for analyzing and optimizing the control systems. However, uncertainties in the physical environment and the emergent behavior of multiple controllers present several challenges in conducting FOTs. We have hands-on experience in performing massive FOTs of a multi-controller CPS to realize engineering challenges in the FOTs. We modeled and developed an autonomous robot vehicle consisting of a lane-keeping system and an adaptive cruise control system. To analyze and optimize autonomous driving, we conducted FOTs of 125 possible configurations of the control systems, each 50 times. This paper presents 1) the model, software, and hardware implementation manuals of our case study on autonomous driving, 2) an FOT log dataset obtained from about 100 hours of driving and its analysis results, 3) research challenges emerging in the multi-controller CPS FOT learned from our hands-on experience, and 4) possible applications of our dataset for future research.","","978-1-6654-9623-0","10.1109/SOSE55472.2022.9812701","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9812701","Cyber-physical systems;Multi-controller;System-of-systems;Autonomous vehicle;Field operational test dataset","Adaptation models;Adaptive systems;Uncertainty;Manuals;Cyber-physical systems;Software;Hardware","","1","","44","IEEE","6 Jul 2022","","","IEEE","IEEE Conferences"
"A Survey on Multimedia Analytics in Security Systems of Cyber Physical Systems and IoT","M. Krishna; S. M. B. Chowdary; P. Nancy; V. Arulkumar","Professor, Dept. of CSE, Sir C.R.Reddy College of Engineering, Eluru; Sr. Assistant Professor, Dept. of CSE, Sir C.R.Reddy College of Engineering, Eluru; Assistant Professor, Department of CSE, Rajalakshmi Engineering College, Chennai; Assistant Professor – CSBS Sri Krishna College of Engineering and Technology, Coimbatore",2021 2nd International Conference on Smart Electronics and Communication (ICOSEC),"12 Nov 2021","2021","","","1","7","With the advancement of software systems, the reliance on humans and their judgments has decreased, resulting in an increase in the use of computational intelligence. As a result of this drift and the available technology, an enhanced method of sensing and controlling as well as measuring and exchanging data has emerged, leading to the emergence of a new area known as Cyber-Physical Systems (CPS). Despite the fact that these systems exhibit remarkable features, the increasing complexity imposed by their components and services makes their design extremely challenging to achieve. This article provides an overview of what a cyber-physical system (CPS) is, its design, and how multimedia analytics and the Internet of Things (IoT) play a significant part in CPS. The importance of CPS in the medical profession cannot be overstated. In this section, a case study is provided to demonstrate the importance of CPS in the medical profession.","","978-1-6654-3368-6","10.1109/ICOSEC51865.2021.9591754","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591754","Cyberphysical Systems;IoT;Multimedia Analytics;Medical field","Area measurement;Cyber-physical systems;Software systems;Sensors;Complexity theory;Internet of Things;Security","","10","","13","IEEE","12 Nov 2021","","","IEEE","IEEE Conferences"
"Robust Resource Allocation for Lightweight Secure Transmission in Multicarrier NOMA-Assisted Full Duplex IoT Networks","Y. Zhang; X. Zhao; Z. Zhou; P. Qin; S. Geng; C. Xu; Y. Wang; L. Yang","State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; State Key Laboratory of Alternate Electrical Power System with Renewable Energy Sources, School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; Institute of Information and Communication, China Electric Power Research Institute, Beijing, China; Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, USA",IEEE Internet of Things Journal,"25 Apr 2022","2022","9","9","6443","6457","In this article, with the aim to enhance the secure transmission and improve the utilization of spectrum resources in Internet of Things (IoT), a multicarrier nonorthogonal multiple access (MC-NOMA)-assisted full duplex (FD) network is investigated, in which nonorthogonal multiple access (NOMA) is implemented in both uplink and downlink transmissions. The lightweight and low-power physical layer security (PLS) technology is employed to protect the information from eavesdropping. Taking the imperfect channel state information (CSI) into account, we formulate a problem to optimize the beamforming vector, artificial noise (AN), transmit power, and subcarrier assignment policy aiming to maximize the worst case sum secrecy rate under the Quality of Service (QoS) and power consumption constraints. Since the formulated problem is nonconvex and difficult to be solved, we decompose it into two joint optimization subproblems. The first is resource allocation with given subcarrier assignment, which is solved by using the block coordinate descent (BCD) approach. The second is subcarrier assignment solved by the matching theory. Our simulation shows that the proposed scheme is robust against the CSI imperfectness of the eavesdropping and self-interference channels, while providing significant sum secrecy rate improvement compared with the orthogonal multiple access (OMA), half duplex (HD) systems, and other benchmark schemes.","2327-4662","","10.1109/JIOT.2021.3110974","Science and Technology Project of State Grid Corporation of China, entitled “Research on the Key-technologies Application of 5G Communication based on Typical Scenarios of Power Distribution Internet of Things,”(grant numbers:5700-201999539A-0-0-00); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530720","Full duplex (FD);Internet of Things (IoT);multicarrier nonorthogonal multiple access (NOMA);physical layer security (PLS);robust resource allocation","Resource management;NOMA;Internet of Things;Uplink;Downlink;Array signal processing;Quality of service","","18","","49","IEEE","8 Sep 2021","","","IEEE","IEEE Journals"
"Taking the SIoT down from the cloud: Integrating the Social Internet of Things in the INPUT architecture","I. Farris; R. Girau; M. Nitti; L. Atzori; R. Bruschi; A. Iera; G. Morabito","CNIT, University Mediterranea of Reggio Calabria; CNIT, University of Cagliari; CNIT, University of Cagliari; CNIT, University of Cagliari; CNIT, Research Unit of Genoa; CNIT, University Mediterranea of Reggio Calabria; CNIT, University of Catania",2015 IEEE 2nd World Forum on Internet of Things (WF-IoT),"21 Jan 2016","2015","","","35","39","The Social Internet of Things (SIoT) is a paradigm which is rapidly gaining ground in the Internet of Things (IoT) domain. In the SIoT objects can establish social-like relationships between each others autonomously. In this paper a solution is presented that integrates the SIoT concept in the architecture proposed within the INPUT project. More specifically the feature is exploited of the INPUT project which allows for running the virtual representation of a smart/social object in the access router which is nearest to the physical object. In this way it is expected that delay will decrease and efficiency in the usage of network resources will increase.","","978-1-5090-0366-2","10.1109/WF-IoT.2015.7389023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7389023","Social Internet of Things;network virtualization;cloud computing","Cloud computing;Servers;Computer architecture;Internet of things;Virtualization;Sensors;Social network services","","11","","15","IEEE","21 Jan 2016","","","IEEE","IEEE Conferences"
"Demo Abstract: PARROT: Privacy by Design Tool for Internet of Things","N. Alhirabi; O. Rana; C. Perera","School of Computer Science and Informatics, Cardiff University, Cardiff, UK; School of Computer Science and Informatics, Cardiff University, Cardiff, UK; School of Computer Science and Informatics, Cardiff University, Cardiff, UK",2022 IEEE/ACM Seventh International Conference on Internet-of-Things Design and Implementation (IoTDI),"23 Jun 2022","2022","","","107","108","The design process for applications that make use of Internet of Things (IoT) can be more complex than for desktop, mobile or web-based platforms. IoT applications typically collect and analyse personal data categorised as sensitive. These data may be subject to a higher degree of protection under data privacy laws. We present PARROT (PrivAcy by design tool foR inteRnet Of Things) – an interactive IoT application design tool for privacy-aware IoT applications. PARROT enables developers to consider privacy compliance during the design process and provides real-time feedback on potential privacy concerns that may need to be considered. From a privacy compliance perspective, PARROT incorporates privacy-specific design features into the IoT application from the beginning rather than retrospectively.","","978-1-6654-9641-4","10.1109/IoTDI54339.2022.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9797435","Internet of Things;Privacy by Design;Software Design;Data Protection;Privacy Law;GDPR;Usable Privacy","Privacy;Data privacy;Real-time systems;Design tools;Internet of Things","","1","","6","IEEE","23 Jun 2022","","","IEEE","IEEE Conferences"
"Individual Police Equipment Management System Based on The Internet of Things","M. Liao","School of Criminal Investigation, People’s Public Security University of China, Beijing, China","2022 3rd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","23 Dec 2022","2022","","","241","245","The Internet of Things technology has been widely applied in intelligent management in fields of traffic control, military logistics and fire services. Under the backdrop of police big data strategy, intelligent police equipment systems have been built and tested as pilot projects in some developed areas in China, but there is still much room for improvement in terms of structure, function and practicality. To solve the existing problems, this essay aims to put forward an individual police equipment management system in virtue of domain-based Reference Model of the Internet of Things. This system efficiently realizes the whole-process and whole-life management of individual police equipment, reduces the cost and exchanges data and intelligence with peer systems.","","978-1-6654-5160-4","10.1109/ICBAIE56435.2022.9985913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9985913","Internet of Things;domain-based Reference Model;individual police equipment;intelligent management","Costs;Law enforcement;Big Data;Traffic control;Data models;Safety;Internet of Things","","","","9","IEEE","23 Dec 2022","","","IEEE","IEEE Conferences"
"Safety and Security in Cyber-Physical Systems and Internet-of-Things Systems","M. Wolf; D. Serpanos","School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Computer Science, University of Patras, Patra, Greece",Proceedings of the IEEE,"20 Dec 2017","2018","106","1","9","20","Safety and security have traditionally been distinct problems in engineering and computer science. The introduction of computing elements to create cyber-physical systems (CPSs) has opened up a vast new range of potential problems that do not always show up on the radar of traditional engineers. Security, in contrast, is traditionally viewed as a data or communications security problem to be handled by computer scientists and/or computer engineers. Advances in CPSs and the Internet-of-Things (IoT) requires us to take a unified view of safety and security. This paper defines a safety/security threat model for CPSs and IoT systems and surveys emerging techniques which improve the safety and security of CPSs and IoT systems.","1558-2256","","10.1109/JPROC.2017.2781198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8232537","Cyber–physical systems (CPSs);Internet-of-Things (IoT);safety;security","Safety;Computational modeling;Cyber-physical systems;Computer security;Timing;Smart grids;Internet of Things;Computer security","","181","","103","IEEE","20 Dec 2017","","","IEEE","IEEE Journals"
"A Security Qualification Matrix to Efficiently Measure Security in Cyber-Physical Systems","A. Aigner; A. Khelil","Department of Computer Science, Landshut University of Applied Sciences, Landshut, Germany; Department of Computer Science, Landshut University of Applied Sciences, Landshut, Germany",2020 32nd International Conference on Microelectronics (ICM),"28 Jan 2021","2020","","","1","4","Implementations of Cyber-Physical Systems (CPS), like the Internet of Things, Smart Factories or Smart Grid gain more and more impact in their fields of application, as they extend the functionality and quality of the offered services significantly. However, the coupling of safety-critical embedded systems and services of the cyber-space domain introduce many new challenges for system engineers. Especially, the goal to achieve a high level of security throughout CPS presents a major challenge. However, it is necessary to develop and deploy secure CPS, as vulnerabilities and threats may lead to a non- or maliciously modified functionality of the CPS. This could ultimately cause harm to life of involved actors, or at least sensitive information can be leaked or lost. Therefore, it is essential that system engineers are aware of the level of security of the deployed CPS. For this purpose, security metrics and security evaluation frameworks can be utilized, as they are able to quantitatively express security, based on different measurements and rules. However, existing security scoring solutions may not be able to generate accurate security scores for CPS, as they insufficiently consider the typical CPS characteristics, like the communication of heterogeneous systems of physical- and cyber-space domain in an unpredictable manner. Therefore, we propose a security analysis framework, called Security Qualification Matrix (SQM). The SQM is capable to analyses multiple attacks on a System-of-Systems level simultaneously. With this approach, dependencies, potential side effects and the impact of mitigation concepts can quickly be identified and evaluated.","","978-1-7281-9664-0","10.1109/ICM50269.2020.9331797","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9331797","Security Qualification Matrix;Security Metric;Threat Analysis;Security Scoring;Cyber-Physical Systems","Cyberspace;Cyber-physical systems;Smart grids;Microelectronics;Security;Qualifications;Smart manufacturing","","4","","16","IEEE","28 Jan 2021","","","IEEE","IEEE Conferences"
"Cyber-physical system architecture for machining production line","J. Herwan; S. Kano; R. Oleg; H. Sawada; N. Kasashima","Advanced Manufacturing Research Institute (AMRI), National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Japan; Advanced Manufacturing Research Institute (AMRI), National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Japan; Advanced Manufacturing Research Institute (AMRI), National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Japan; Advanced Manufacturing Research Institute (AMRI), National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Japan; Advanced Manufacturing Research Institute (AMRI), National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Japan",2018 IEEE Industrial Cyber-Physical Systems (ICPS),"21 Jun 2018","2018","","","387","391","Cyber-physical systems (CPS) are now applied in wide spans of areas such as transportation, infrastructure, defense, manufacturing process, etc. In this paper, architecture of cyber-physical production system (CPPS) is proposed to provide an adaptive and autonomous system in machining line. Through this CPPS, tool wear and breakage monitoring can be held, as well as surface roughness monitoring. Some preliminary examples are presented.","","978-1-5386-6531-2","10.1109/ICPHYS.2018.8387689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387689","manufacturing;machining;CPS (cyber-physical system);sensors","Tools;Monitoring;Sensors;Rough surfaces;Surface roughness;Machining;Vibrations","","29","","17","IEEE","21 Jun 2018","","","IEEE","IEEE Conferences"
"A Methodology for Integrating Internet of Things Platforms","C. Savaglio; G. Fortino; R. Gravina; W. Russo","Dept. of Inf., Modeling, Electron. & Syst., Univ. della Calabria, Rende, Italy; Dept. of Inf., Modeling, Electron. & Syst., Univ. della Calabria, Rende, Italy; Dept. of Inf., Modeling, Electron. & Syst., Univ. della Calabria, Rende, Italy; Dept. of Inf., Modeling, Electron. & Syst., Univ. della Calabria, Rende, Italy",2018 IEEE International Conference on Cloud Engineering (IC2E),"17 May 2018","2018","","","317","322","The integration of existing and future smart cyberphysical systems within a fully realized Internet of Things (IoT) cannot dismiss the requirement of interoperability. The absence of standards for the IoT along with its intrinsic complexity demand for proper methodologies in order to fully support the development of heterogeneous, but interoperable, IoT systems as well as their integration. However, at the state-of-the-art, no methodologies for IoT systems integration are available. To fill this gap, in this paper the INTER-METH engineering methodology is presented. Developed in the context of the European H2020 project named INTER-IoT, INTER-METH supports the integration process of heterogeneous IoT platforms from the analysis to the maintenance phase. Its main features as well as its abstract and instantiated process schema are described; in particular, in this paper the focus is on the analysis phase that is fundamental for driving the integration process.","","978-1-5386-5008-0","10.1109/IC2E.2018.00062","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8360348","Internet of Things;Interoperability;IoT Platform;Methodology;Integration;Cyberphysical System","Interoperability;Testing;System integration;Computer architecture;Analytical models;Synthetic aperture sonar","","6","","14","IEEE","17 May 2018","","","IEEE","IEEE Conferences"
"System of Systems Integration Also Includes Hardware Integration: A Small Demonstration of Providing Some Reflection Processes for HW","P. R. Nelson; C. Landauer; K. L. Bellman; S. Goto; J. Taylor","Electrical and Computer Engineering Department, California State Polytechnic University, Pomona, Pomona, CA, USA; Topcy House Consulting Thousand, Oaks, California, USA; Topcy House Consulting, Thousand Oaks, CA, USA; Electrical and Computer Engineering Department, California State Polytechnic University, Pomona, Pomona, CA, USA; Electrical and Computer Engineering Department, California State Polytechnic University, Pomona, Pomona, CA, USA",2015 IEEE International Conference on Autonomic Computing,"17 Sep 2015","2015","","","285","288","In previous work we showed that reflection and Wrappings are useful tools for system integration. But System of Systems integration also needs to accommodate specific hardware challenges. We discuss simple examples from the operation of a single cyber-physical agent that accepts top-down commands, but uses the Wrappings architecture to self-organize its context specific implementation of them. Our experimental context is CARS (Computational Architectures for Reflective Systems) a test bed for exploring the behavior of distributed autonomous cyber-physical agents in a complex environment.","","978-1-4673-6971-8","10.1109/ICAC.2015.74","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7266981","Self-Organizing Systems;Real-Time Systems;Computational Reection;Wrapping Infrastructure;Experimental Testbed","Wrapping;Context;Hardware;Computer architecture;Conferences;System of systems;Real-time systems","","","","9","IEEE","17 Sep 2015","","","IEEE","IEEE Conferences"
