title,abstract,authors,year,venue,doi,source,citation_count
IoT Based Sustainable Smart Walking Assistance System Using Light Weight Nagaland Bamboo,"Blindness is basically the lack of vision occasionally cannot be rectified with eyeglasses or lens. Visually challenged people have difficulty in interacting with the environment. So, they have to rely on someone else to move. With the proposed sustainable light-weight bamboo smart walking stick, they will be able to travel from one place to the other in a convenient way without relying much on others, thus easing the carbon footprint in the environment. The sturdy sustainable light-weight bamboo walking stick makes use of different sensors, to sense the area and detects whether it is suitable for its user to move. The sensor integrated Arduino controller is also connected with a buzzer alarm which acts as an immediate output. Based on the detection of obstacles by the sensors, the buzzer will sound. Since the traditional stick is not eco- friendly and costly, it creates a lot of downsides in its application. On the other hand, the light-weight bamboo smart walking stick is more efficient and affordable. The power consumption of the module is low and also the durability and resilience of bamboo cannot be compared with traditional white cane.","Vikedokho Sileo, Shakila Baskaran, Prakash Marimuthu",2024.0,2024 International Conference on Advancement in Renewable Energy and Intelligent Systems (AREIS),10.1109/AREIS62559.2024.10893605,Semantic Scholar,0.0
Panel summary of cyber-physical systems (CPS) and Internet of Things (IoT) opportunities with information fusion,,"Erik Blasch, I. Kadar, L. Grewe, R. Brooks, Wei Yu, Andres Kwasinski, S. Thomopoulos, J. Salerno, H. Qi",2017.0,Defense + Security,10.1117/12.2264683,Semantic Scholar,18.0
Smart SSL: Application of IoT/CPS design platforms in LED-based street-lighting luminaires,,"A. Szalai, T. Szabó, P. Horváth, A. Timár, A. Poppe",2016.0,2016 IEEE Lighting Conference of the Visegrad Countries (Lumen V4),10.1109/LUMENV.2016.7745518,Semantic Scholar,16.0
An IoT condition monitoring system for resilience based on spectral analysis of vibration,"In these years, the Industry 4.0 paradigm has widespread in worldwide. Smart new automation tools and technologies are rapidly changing the face of manufacturing and industry. The use of new strategies in maintenance management increases the company's competitiveness on the market. The most important task is the reduction of production costs, which can be pursued by reducing downtime and increasing maintenance efficiency. These objectives can be achieved through the widespread use of low-cost smart devices, which can provide a detailed and online view of the operating conditions of the machines. For these reasons, in this paper an IoT system has been proposed. This system analyzes the machinery vibration spectrum, in order to have a conditional and continuous monitoring for the resilience of the machinery after a failure.","G. Bucci, F. Ciancetta, E. Fiorucci, A. Fioravanti, A. Prudenzi, S. Mari",2020.0,2020 IEEE International Workshop on Metrology for Industry 4.0 & IoT,10.1109/MetroInd4.0IoT48571.2020.9138177,Semantic Scholar,3.0
"Next-Generation Defense Security: Blockchain, IoT, Digital Twin, and Face Recognition-Based Smart Monitoring System","Authentication plays a critical role in safeguarding the defense industry's sensitive information, personnel, and assets from unauthorized access and security breaches. Strong authentication procedures are necessary to guarantee the integrity and security of military systems, networks, and facilities as defense activities grow more digitally oriented. The rapid advancements in technology and the increasing complexity of defense operations necessitate the development of secure and efficient monitoring systems. This project presents an Internet of things based digital twin technology integrated with AI-powered facial recognition technology with block chain technology to address the unique security challenges faced by the defense industry. The proposed system leverages blockchain's inherent advantages, such as decentralization, immutability, and enhanced security, to create a robust platform for monitoring personnel, assets, and critical infrastructure. By utilizing facial recognition for real-time identification and verification of personnel, the system automates access control, allowing only authorized individuals into restricted areas or to sensitive resources. The biometric data of authorized personnel is securely stored on the blockchain, preventing tampering and ensuring data privacy. Every access attempt-whether successful or unauthorized-is recorded in the decentralized ledger, providing an immutable audit trail for accountability and compliance. Smart contracts embedded within the blockchain facilitate automated responses to security incidents, such as notifying authorities, triggering alarms, or locking down areas when unauthorized individuals are detected. The framework's decentralized nature eliminates single points of failure, enhancing resilience against potential cyberattacks and ensuring continuity of operations.","G. M., Mohith S, Raja S, Venkatramani R, Vignesh S",2024.0,2024 4th International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS),10.1109/ICUIS64676.2024.10866097,Semantic Scholar,0.0
"Artificial Intelligence for Detection, Estimation, and Compensation of Malicious Attacks in Nonlinear Cyber-Physical Systems and Industrial IoT","This article proposes a hybrid intelligent-classic control approach for reconstruction and compensation of cyber attacks launched on inputs of nonlinear cyber-physical systems (CPS) and industrial Internet of Things systems, which work through shared communication networks. In this article, a class of n-order nonlinear systems is considered as a model of CPS while it is in presence of cyber attacks only in the forward channel. An intelligent-classic control system is developed to compensate cyber-attacks. Neural network (NN) is designed as an intelligent estimator for attack estimation and a classic nonlinear control system based on the variable structure control method is designed to compensate the effect of attacks and control the system performance in tracking applications. In the proposed strategy, nonlinear control theory is applied to guarantee the stability of the system when attacks happen. In this strategy, a Gaussian radial basis function NN is used for online estimation and reconstruction of cyber-attacks launched on the networked system. An adaptation law of the intelligent estimator is derived from a Lyapunov function. Simulation results demonstrate the validity and feasibility of the proposed strategy in car cruise control application as the testbed.","F. Farivar, M. S. Haghighi, A. Jolfaei, M. Alazab",2020.0,IEEE Transactions on Industrial Informatics,10.1109/TII.2019.2956474,Semantic Scholar,186.0
Nature-inspired routing and optical communication for next-generation IoT systems,"
 In this paper, we explore the interconnection of natural processes and current technologies to satisfy the emerging requirements of next-generation Internet of Things (IoT) ecosystems. Motivated by biological networks, we propose a novel routing and optical communication approach that leverages nature’s ability for self-organization, flexibility and resilience. This paper presents a model for bio-inspired routing protocols to be used in Internet of Things networks in order to improve scalability, reduce latency and maximize data transmission efficiency. Moreover, we investigate the potential of optical communication technologies, which are fast, low-latency and energy-efficient, to support the immense data transmission requirements of Internet of Things systems. The research finds key barriers and opportunities for integrating nature-based approaches.","Rajni Rani, Sharad Sharma",2025.0,Journal of optical communications,10.1515/joc-2024-0295,Semantic Scholar,0.0
Adversarial AI and Cyber–Physical System Resilience: Protecting Critical,"AI technology together with CPS systems face operational gaps because different industries are utilizing these systems in greater numbers. The study explores CPS security issues from the pairing between adversarial AI and CPS through its analysis of automated essential system management in healthcare facilities and transportation systems and power stations. Research document analysis coupled with field assessments allows the author to properly identify adversary threats to CPS systems while showing the importance of creating protective mechanisms for system defense.
The initial section of this work introduces fundamental adversarial AI principles accompanied by an explanation of how cyber criminals exploit accessible AI algorithm vulnerabilities to manipulate systems during operation and produce wrong outcomes. This document illustrates both data poisoning attacks together with model evasion tactics with the purpose of showing stakeholders why they need to boost their knowledge about CPS implementation. The section describes the negative influence of automated system attacks on both public safety and operational efficiency as well as user trust in automated systems. The findings prove that organizations need to understand enemy domains because this intelligence helps establish defensive barriers against attacks.
This final part introduces an incremental defense approach for CPS security through combined implementation of adversarial training techniques with robust algorithm development practices and continuous real-time systems watch. The paper advocates for research collaboration between engineers and policy makers and artificial intelligence programmers and cybersecurity researchers to create useful guidelines for both end users and government policy makers. The paper shows that effective initiatives to counter adversarial AI risks should protect vital systems with a dual objective of avoiding present threats and preventing new attack methods.","Ashwin Sharma, D. Kejriwal, Anil Kumar Pakina",2023.0,Journal of Advances in Developmental Research,10.71097/ijaidr.v14.i2.1376,Semantic Scholar,0.0
A Micro-Acoustic Enhanced Low-Impedance Antenna System for IoT Wake-Up Receivers,"In this work, we propose a passive radio frequency (RF) front-end tailored for wake-up receivers (WuRx) to be deployed in cellular Internet of Things (IoT) devices and wearables networks, featuring a low radiation resistance antenna and a high-<inline-formula> <tex-math notation=""LaTeX"">$Q$ </tex-math></inline-formula> matching network implemented with microacoustic resonators integrated to obtain a systematic higher node’s sensitivity at no cost in terms of power consumption. We show how these components can be co-designed to obtain high passive voltage gain, hardware-level blocker immunity, and increased resilience to integration parasitics, relaxing link budget for low-power IoT nodes. We report experimental validation of a PCB antenna with 2-dBi gain measured on an 11-<inline-formula> <tex-math notation=""LaTeX"">$\Omega $ </tex-math></inline-formula> input resistance at resonance, and an in-house fabricated micro-electro-mechanical system (MEMS) thin-film aluminum nitride bulk acoustic resonator with a quality factor <inline-formula> <tex-math notation=""LaTeX"">$Q=550$ </tex-math></inline-formula> and a piezoelectric coupling coefficient <inline-formula> <tex-math notation=""LaTeX"">$k_{t}^{2} = \mathrm {7~ \%}$ </tex-math></inline-formula>, hybridly integrated with a commercial off-the-shelf low-power WuRx circuit to benchmark the proposed RF front-end design at 850 MHz. We demonstrate a passive voltage gain of 12 dB due to the MEMS resonator, and an additional 11 dB due to the proposed antenna design (for a total of an unprecedented 2-dB passive gain in this frequency range) leading to an over the air −61-dBm minimum detectable input power and 23-dB blocker rejection.","Giuseppe Michetti, L. Colombo, Gabriel Giribaldi, Ankit Mittal, Hussain E. Elkotby, Ravikumar V. Pragada, A. Shrivastava, M. Rinaldi",2023.0,IEEE Internet of Things Journal,10.1109/JIOT.2022.3233355,Semantic Scholar,2.0
A Hybrid Machine Learning Approach for Intrusion Detection and Mitigation on IoT Smart Healthcare,"Strong cybersecurity solutions are becoming more and more important as Internet of Things (IoT) technology integration in healthcare settings develops. This study offers a method for feature extraction, selection, and attack classification by fusing the discriminative capacity of feedforward neural networks (FNNs) with the adaptability of fuzzy logic systems. In delicate healthcare database of IoT wearable devices, to reduce false alarm and guaranteeing intrusion detection dependability are the main priorities. The suggested method uses a feature extraction, selection technique, training and testing based on FNN, which allows the model to adjust to the dynamic and varied character of medical data. During the assessment stage, a dataset including a range of healthcare IoT scenarios, including different kinds of attacks, is used to train and evaluate the model, the ToN_IoT dataset was used. Fuzzy logic improves the system's resilience in identifying pertinent features by managing uncertainties and imprecise input. Fuzzy logic is one of the best technique for handling uncertainty, its linguistic representation and rule reasoning helps in better identification and classification. The findings indicate a noteworthy decrease in the frequency of false alarms when juxtaposed with conventional intrusion detection systems. Results obtained from the model are 99.2, 98.8, 99.5, 99.1 & 0.008 for accuracy, precision, recall, F1-Score and False alarm respectively. Promising outcomes in protecting IoT healthcare environments are demonstrated by the suggested system, opening the door to better patient data privacy and system resilience against cyberattacks.",,2024.0,International Journal of Advances in Computer Science and Technology,10.30534/ijacst/2024/021372024,Semantic Scholar,1.0
Security Architecture and Key Technologies for IoT/CPS,,"Ding Chao, Y. Lijun, Wu Meng",2011.0,,,Semantic Scholar,29.0
Using a heuristic multi-objective genetic algorithm to solve the storage assignment problem for CPS-based pick-and-pass system,"ABSTRACT With the advancement of AI and the widespread application of IoT and cloud computing, the pick-and-pass system (PKPS) can potentially be transformed into a cyber-physical system (CPS) based intelligent warehouse picking system. This paper proposes a CPS-based PKPS with a heuristic multi-objective genetic algorithm to solve the NP-hard storage assignment problem (SAP) for order picking operations in an e-commerce-based warehouse. The proposed algorithm considers both the workload balance between picking lines and emergency replenishment during picking operation. Finally, the study shows that the proposed algorithm is effective in improving the efficiency of picking operations based on software simulation.","Mengru Tu, Ming-Feng Yang, S. Kao, Feng-Cheng Lin, Ming-Hung Wu, Cheng-Kuan Lin",2020.0,Enterprise Information Systems,10.1080/17517575.2020.1811388,Semantic Scholar,21.0
A Novel IoT-Driven Model for Real-Time Urban Wildlife Health and Safety Monitoring in Smart Cities,"This study introduces an innovative IoT-driven model designed to enhance the monitoring and protection of urban wildlife in smart cities. Addressing the key limitations of existing systems, the model overcomes issues related to the lack of real-time data integration, signal interference, and excessive power consumption, which compromises the data accuracy and system sustainability. The proposed model integrates a network of advanced IoT sensors that continuously monitor environmental and wildlife health indicators coupled with real-time data processing units that perform filtering, aggregation, and analysis. Predictive analytics is employed to proactively identify potential threats to wildlife, shifting the approach from reactive to proactive conservation. Robust security and privacy protocols ensure data confidentiality and system resilience. The study demonstrated significant improvements, including a 15-20% increase in data accuracy, 25% boost in energy efficiency, and 70% reduction in response delays. These results highlight the effectiveness of the proposed model in providing timely, accurate, and secure wildlife monitoring. The scalability and adaptability of the model suggest its potential for broader applications in urban management and environmental monitoring, reinforcing its role in advancing sustainable, wildlife-friendly infrastructure within the framework of smart city development.","Kalyankumar Dasari, Mohmad Ahmed Ali, Shankara N.B, K. D. Reddy, M. Bhavsingh, K. Samunnisa",2024.0,"2024 8th International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)",10.1109/I-SMAC61858.2024.10714601,Semantic Scholar,6.0
An STL-based Formulation of Resilience in Cyber-Physical Systems,"Resiliency is the ability to quickly recover from a violation and avoid future violations for as long as possible. Such a property is of fundamental importance for Cyber-Physical Systems (CPS), and yet, to date, there is no widely agreed-upon formal treatment of CPS resiliency. We present an STL-based framework for reasoning about resiliency in CPS in which resiliency has a syntactic characterization in the form of an STL-based Resiliency Specification (SRS). Given an arbitrary STL formula $\varphi$, time bounds $\alpha$ and $\beta$, the SRS of $\varphi$, $R_{\alpha,\beta}(\varphi)$, is the STL formula $\neg\varphi\mathbf{U}_{[0,\alpha]}\mathbf{G}_{[0,\beta)}\varphi$, specifying that recovery from a violation of $\varphi$ occur within time $\alpha$ (recoverability), and subsequently that $\varphi$ be maintained for duration $\beta$ (durability). These $R$-expressions, which are atoms in our SRS logic, can be combined using STL operators, allowing one to express composite resiliency specifications, e.g., multiple SRSs must hold simultaneously, or the system must eventually be resilient. We define a quantitative semantics for SRSs in the form of a Resilience Satisfaction Value (ReSV) function $r$ and prove its soundness and completeness w.r.t. STL's Boolean semantics. The $r$-value for $R_{\alpha,\beta}(\varphi)$ atoms is a singleton set containing a pair quantifying recoverability and durability. The $r$-value for a composite SRS formula results in a set of non-dominated recoverability-durability pairs, given that the ReSVs of subformulas might not be directly comparable (e.g., one subformula has superior durability but worse recoverability than another). To the best of our knowledge, this is the first multi-dimensional quantitative semantics for an STL-based logic. Two case studies demonstrate the practical utility of our approach.","Hongkai Chen, Shanny Lin, S. Smolka, Nicola Paoletti Stony Brook University, S. Brook, Usa, R. Holloway, U. O. London, Uk",2022.0,International Conference on Formal Modeling and Analysis of Timed Systems,10.48550/arXiv.2205.03961,Semantic Scholar,8.0
Featuring Dual Learning Experiences in Tangible CPS Education: A Synchronized Internet-of-Things – Digital-Twin System,"Cyber-Physical System (CPS) development becomes challenging when digital representations, so-called Digital Twin (DT) models, are synchronized with physical counterparts for real-time design and control. Learner support requires transparent and intelligible capacity building tools to grasp the idea of such complex systems and develop integrated design and engineering skills. Tangible components can help as physical cognitive artifacts for Internet-of-Things (IoT) applications being part of CPS. However, the intertwining of physical and digital elements requires a didactically grounded vocabulary and development concept to learn with tangible artifacts as mental representation. In this paper we introduce an integrated tangible design and engineering learning support system. It synchronizes physical IoT components with their DT representation, as composed by means of M5Stack (m5stack.com), UIFlow© (flow.m5stack.com) using Blockly for visual programming, and the diagrammatic D3j-editor (D3js.org) for editing DTs and monitoring/controlling CPS behavior. Learners can design and engineer a CPS either via tangible IoT (control) elements, or digitally. Prepared use cases from smart home management and home healthcare serve as teasers for actively engaging learners in CPS development tasks.","C. Stary, Claudia Kaar, M. Jahn",2021.0,Engineering Interactive Computing System,10.1145/3459926.3464755,Semantic Scholar,4.0
A Resilient and Robust Edge-Cloud Network System Supporting CPS,"Many outages of cloud computing services are caused by the natural disasters or common causes such as software failure, hardware failure, cyber attacks, and power outage. As a result, it is critical to develop resilient and robust cyber-physical system (CPS) to support continuity of service for smart and connected communities (S&CC). In spite of considerate research efforts on virtual machine (VM) migration for enhancing failure-resilience of datacenters, one issue still needs to be effectively addressed: how to determine the best destination for VM migration to avoid the influence from a given failure and enable edge nodes to connect to the VMs continuously. In this paper, we aim to handle these important issues to build a resilient and robust edge-cloud (or fog) network system supporting CPS for S&CC. We propose a machine learning based method for VM migration destination determination for the VMs in the predicted failure domains. We also propose a continuous edge-cloud connection method in wireless network component that enables edge nodes to continuously connect with the VMs through intermediate edge nodes when they cannot directly connect to their original VMs due to VM migration. Our experimental results show our proposed system reduces the number of job failures by 1.8 times and reduces the total job completion time by 48% for completed jobs compared to the case without our system.","Tanmoy Sen, Haiying Shen, W. Saad, T. Doan",2021.0,IEEE International Conference on Mobile Adhoc and Sensor Systems,10.1109/MASS52906.2021.00039,Semantic Scholar,0.0
An Evaluative Study on IoT Ecosystem for Smart Predictive Maintenance (IoT-SPM) in Manufacturing: Multiview Requirements and Data Quality,"With the recent advances of the Internet of Things (IoT), innovative techniques, and concepts have emerged, such as digital twins and industrial 4.0. As one of the essential parts of a digital twin, IoT-based smart predictive maintenance (IoT-SPM) is a key enabling technology for smart manufacturing. This article introduces digital twins and their relationship to IoT-SPM and proposes a reference IoT-SPM, aiming to provide a comprehensive and systematic outlook for the IoT-SPM field. Thus, it can be used as a guide map for interested readers. To give a complete picture of the IoT-SPM ecosystem in industrial 4.0 systems, this article conducts an analysis from multiview perspectives, starting with the architecture, followed by platforms and component. The key components or requirements of an IoT-SPM ecosystem are identified and outlined, including the IoT and cyber–physical system (CPS) as the cornerstone technologies, IoT monitoring data as the base, big data platforms as the backbone, an upgraded computing paradigm as the catalyst, and machine learning-based data analysis as the main processor. This article also focuses on the issues surrounding IoT data when applying analytic models to a real-world industrial IoT system. Then, the current progresses relating IoT and IoT-SPM are depicted, and a research gap on IoT data quality is identified. In particular, regarding the identified IoT data quality problems, this article qualitatively evaluates and discusses the existing solutions. These discussions lead to several open research issues and future directions.","Yuehua Liu, Wenjin Yu, Wenny Rahayu, T. Dillon",2023.0,IEEE Internet of Things Journal,10.1109/JIOT.2023.3246100,Semantic Scholar,39.0
CapOS: Capacitor Error Resilience for Energy Harvesting Systems,"Energy harvesting systems have emerged as an alternative to battery-operated Internet of Things (IoT) devices. To deal with frequent power outages in the absence of battery, energy harvesting systems rely on a capacitor-backed checkpoint mechanism also known as just-in-time (JIT) checkpointing. It checkpoints volatile data in nonvolatile memory (NVM) just before a power outage occurs—using the energy buffered in the capacitor—and restores the checkpointed data from NVM in the wake of the outage. While the JIT checkpointing gives an illusion that volatile data survive a power outage as if they were nonvolatile, it turns out that due to capacitor degradation, energy harvesting systems can unexpectedly fail the JIT checkpointing, losing or corrupting data across the outage. To address the problem, this article presents an operating system-driven solution called CapOS. At a high level, CapOS diagnoses the capacitor in a reactive yet safe manner. When the JIT checkpoint failure occurs, CapOS detects the capacitor degradation without causing the data corruption. To recover from such a capacitor error, CapOS electrically isolates the degraded capacitor—so that it restores its original capacitance by itself with the help of capacitor’s resilient nature—and disables the JIT checkpointing. In case, power outages occur during the capacitor isolation, CapOS leverages undo logging with interval-based checkpointing for their recovery. Once the capacitor is fully recovered, CapOS gets back to the capacitor-based JIT checkpointing. The experimental results demonstrate that CapOS can effectively address the capacitor error of energy harvesting systems at a low run-time cost, without compromising the recovery of power outages.","Jongouk Choi, Hyunwoo Joe, Changhee Jung",2022.0,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,10.1109/TCAD.2022.3202861,Semantic Scholar,8.0
